mbid	thedomid	thename	location	explanation
6b861fd13e9a	UP5P1028	New_Mexico	59-49	-
342a20afb5b0	TP5P0905	New_Orleans	56-44	-
4d38b217afdd	UP5P1032	New_York	66-33	-
d636126fd265	TP7P2279	Nez_Perce_Tribe	62-10	NULL
be5843e76a69	TP5Y0111	Nikolassee	29-58	-
fbdc366e88d9	AP6P1156	Nimo_Top	45-61	bloodpressure medication
acd733b2b248	AP4P0078	Nitrogen	21-52	-
ed1f142f51e8	TP6Y4385	Niu_Tou	74-20	Chinese gods and mythical heroes
347fd0110547	TP5P0581	Nix	29-60	-
d7de449b3be8	TP4H0014	NN0014	56-32	-
82dbc7c95c98	TP4H0015	NN0015	72-42	-
3fc55d53169a	TP6P1467	Noatak_River	48-12	NW Alaska; rises in Brooks Range
fe6b36e170cc	TP5P0647	Nomatophobia	29-54	-
bd4f982f0ee7	AP6P1113	Non_Stop	63-62	a stop
d3ee1ad66424	UP7P2304	Nooksack_Tribe	62-27	NULL
b00a0d04c93f	TP6P1511	Nora_Neko	58-22	Wild cat
fddd303fac9e	TP5P0507	Noreaster	74-32	-
9b60779fe19f	TP5H0239	Norsborg	59-22	-
97785ea71b24	UP6P1314	North_America	73-57	Large nebula covering an area of more than ten times the size of the full moon.
d05c2f9c3902	UP5P0830	North_Carolina	49-33	US State Names
60b6146cfe16	TP5P0533	North_Wind	59-06	-
2a687c33b86c	AP5P0447	Nosology	47-64	-
f64cd2807fc9	TP5P0725	Novercaphobia	29-40	-
c0b3c5fb04c7	UP6Y4408	Npfundlwa	70-05	African Gods and Legendary Heroes
227df6c98447	UP5Y0164	NSU_Prince	50-07	-
f5af8df5c8d5	UP6P1820	Nukulaelae	62-41	NULL
cf48524cf03b	TP6P1879	Nuku_Hiva	55-28	NULL
3444ff6aa351	TP7P2265	Numenor	62-60	NULL
f042e15f70f5	AP5P0431	Numerology	48-63	-
63fc15ab49b0	TP6P1625	Nurse_Cramer	63-32	Character from Joseph Hellers catch-22
0e8e3486fc2b	UP6Y4466	Nu_Wa	48-35	Chinese gods and mythical heroes
25fdc90e035a	TP6Y4237	Nyama	57-40	African Gods and Legendary Heroes
d8c7e7ed5e35	TP5P0729	Nyctophilia	40-18	-
50cb49c42356	UP4P0230	Oatmeal_stout	21-33	-
dac13da668c7	TP7Y4517	Obelix	70-12	NULL
1bb1eb4c8325	TP6P1461	Objective_C	70-34	A superset of C using smalltalk-like messages rather than simula style methods
50e4a768abdd	AP5P0449	Oceanology	38-62	-
e7c5daacec14	TP4P0229	Ocelot	50-36	-
3acacc26bae0	AP5P0423	Octophobia	49-61	-
b3732fdb626b	UP5H0168	Odenplan	29-57	-
bc1441b339a5	UP6Y4244	Odudua	57-27	African Gods and Legendary Heroes
4137125937c0	TP5P0551	Ogre	63-10	-
d547993f356f	UP5P1008	Ohio	59-53	-
6cfa86271497	TP6P1363	Oh_Hell	64-58	A card Game
fe2d77898eeb	UP5P1010	Oklahoma	59-43	-
429942a3e830	AP5P0451	Oklahoma_City	67-63	-
a3894c99d671	UP5Y0166	Oldsmobile_88	40-21	-
bb4ef158c398	TP6P1419	Old_Maid	78-34	A card Game
af6e6d980207	UP6P1604	Old_Manin_Rome	77-51	Character from Joseph Hellers catch-22
772a80d66795	AP6P1155	Old_Yellow_Top	72-63	relative of sasquatch residing in Ontario Canada
f765a906660e	TP5P0671	Olfactophobia	29-12	-
92e88b680800	TP5H0213	Olyckskobben	63-16	-
f4c714b6d55e	TP5P0867	Olympia	59-54	-
175121173dda	TP5Y0157	Olympiastadion	50-12	-
345b9e5c386b	UP5Y0168	Ol_Yaller_V3	49-45	-
7b2b9af690bb	UP6Y4348	Ometeotl	66-03	NULL
4f6b5706dbc2	AP5P0445	Omphalology	47-63	-
86a3fd1a9406	TP5P0991	Onchocerciasis	56-16	-
aa4152bc61f5	TP7P2317	Oneida_Nation	62-50	NULL
f38e65051e1e	AP6P1139	One_Stop	70-61	a stop
28a8ef99c234	TP4P0163	Onion	30-14	-
f6198104eb64	AP5P0448	Ontology	59-61	-
45bb1c8696ab	AP6P1125	On_Top	46-61	of spaghetti all covered with cheese
4e4f0cd65fcb	AP5P0437	Oology	69-64	-
6af7b1e65fb6	TP5P0747	Oombrophilia	63-40	-
b2d5827e1814	UP5Y0170	Opel_GT	50-25	-
66f33c9ca1e1	TP5P0835	Ophiophilia	64-30	-
331c8d07f271	AP5P0430	Ophthalmology	38-64	-
92b6ab035e66	UP5P0622	Opiophobia	71-41	-
aa4e2dc9524e	TP5P0673	Optophobia	38-20	-
b7be287e1733	TP4P0091	Orange	30-58	-
f7809fdb01c0	TP4P0233	Orangutan	49-06	-
894993470840	AP5P0415	Orc	74-61	-
78d52c98293c	TP4P0235	Orca	71-06	-
6ba3e2712b83	UP6P1204	Orchid	78-31	Orchids get their name from the Greek orchis, meaning testicle
e6e30655009b	UP5P0974	Oregon	49-05	-
b4faf7b177c7	AP6P1135	Organ_Stop	78-61	Not very healthy
dea858f965e6	UP6P1338	Orion	58-01	One of the brightest nebulae, its greenish hue can be seen by the naked eye.
8f38493a59eb	TP6Y4309	Orischa	57-48	African Gods and Legendary Heroes
db0410318240	AP5P0442	Ornithology	38-63	-
78f7ff2c2829	TP5P0795	Ornithophilia	39-28	-
bb4684878fd7	UP5H0154	Orre	56-49	-
3f509081b654	UP6P1606	Orr_22	77-41	Character from Joseph Hellers catch-22
ff506aa3bcad	UP6Y4256	Orunmila	47-27	African Gods and Legendary Heroes
ef4b6d635014	TP4P0237	Orynx	50-02	-
77cc539b3297	UP4P0116	Orzo	49-51	-
bfb81304db28	TP5P0777	Osmophilia	39-44	-
9ef3fedb9d36	TP5Y0089	Ostbahnhof	29-08	-
4770282eaf54	AP5P0440	Osteology	50-61	-
890d01f85a74	TP5Y0085	Ostkreuz	49-48	Berlin S-Bahn Stations
547cf31ff4c8	TP5P0639	Ostraconophobia	29-02	-
45a550713f62	AP5P0403	Ostria	40-64	-
19f72a95bd25	AP5P0429	Otology	50-63	-
e547e215b150	AP4P0074	Otoro	47-62	-
b3aee61fe0d5	UP7P2302	Ottawa_Tribe	62-51	NULL
470f8cb0f6f5	TP4P0239	Otter	40-40	-
d271bfaef0c9	AP6P1158	Over_The_Top	72-64	too much
1d6d55010061	TP6P1345	Owl_Nebula	72-22	A planetary nebula in the constellation Ursa Major, formed roughly 6,000 years ago.
016e4eb4a40e	TP4P0241	Ox	59-34	-
455c5f0f8a3f	TP4P0121	Oxygen	21-56	-
e639b2abcfe1	TP6Y4241	Oya	55-32	African Gods and Legendary Heroes
672202c94076	TP7Y4609	Ozherelye	76-36	NULL
ce8466df84c2	UP5Y0172	Packard_120	38-01	-
feff969a8204	TP6P1545	PacMan	76-06	a game where you must avoid the ghosts, while eating the fruit
58681d58fc77	TP5P0579	Pagophobia	63-48	-
32f48b1e5a66	AP5P0438	Palaentology	53-62	-
bb03598dcaa6	AP5P0450	Palaeophilia	48-62	-
b8fc657750ab	UP7P2276	Palantir	62-57	NULL
fdf1a68efd2c	TP4P0191	Pale_ale	30-36	-
c0d53ce89997	AP6P1142	Palm_Top	69-62	compact computer to be used while held in ones palm
249894b45b2c	AP5P0443	Palynology	49-64	-
5352ea563dae	TP6P1315	Pamela_Sue_Voorhees	46-14	is a fictional character, mother of the fictional slasher serial killer Jason Voorhees of the Friday the 13th films.
ffbfd22f1758	TP6P1217	Pampas	48-54	Hole  7 Par 4   450 yards
39368d8f1d7c	AP5P0402	Pampero	46-64	-
dceae1ccfe93	TP4P0243	Panda	74-64	-
02aeeef35302	UP6Y4430	Pandavas	73-11	Indian Gods and legendary heroes
ddeb37c3acd8	UP7P2102	Paneer	55-09	NULL
2706114d34df	TP4P0245	Pangolin	40-30	-
f5c93c392bfa	TP6Y4451	Pangu	47-28	Chinese gods and mythical heroes
5d7d0f3831c1	AP6P1108	Panic_Stop	54-61	Panic is bad for you
276f2e443b2e	TP5Y0143	Pankow	56-04	-
6e41ab3703aa	TP5P0655	Panophobia	29-04	-
40ea374af694	UP5Y0176	Panoz_Esperante	49-35	-
16d7166f4d0a	TP4P0247	Panther	38-12	-
d307af164254	TP5P0651	Papaphobia	67-12	-
e468aa1abdab	UP4P0090	Papaya	50-51	-
5da73d9b3453	TP6P1585	Paperboy	71-42	an arcade game where you must avoid the dogs and deliver the newspapers
dd03b5f84480	TP6P1327	Papillon	73-10	The Hubble observation of the papillon nebula is part of a search for young, massive stars in the Large Magellanic Cloud.
d815cc08657f	TP5P0573	Papyrophobia	39-14	-
472d57d94c7c	TP6Y4373	Paraschurama	56-12	Indian Gods and legendary heroes
1fa77135a59c	AP6P1190	Paris	61-63	NULL
a4f60d78763b	UP6P1864	Parmigiano_Reggiano	76-29	NULL
72543773efa8	TP7P2163	Parrano	76-02	NULL
77d222d84888	UP4P0186	Parsley	21-39	-
581a272aeb03	TP6Y4371	Parvati	66-12	Indian Gods and legendary heroes
d0e5476e3704	UP6P1490	Pascal	70-55	ALGOL based language named for mathematician Blaise Pascal
2859edaf83f1	TP6P1409	Pasur_Card	73-40	A card Game
8fbd1c6ec6bd	UP6Y4362	Patecatl	48-53	NULL
c307a935a721	TP6P1717	Patton	70-08	Biopic of General Patton in WWII
170b3f860e61	TP6Y4227	Pauahtun	48-46	NULL
d7c2576ce97e	TP4P0083	Peach	46-58	-
8f26896c08b5	TP6P1917	Pecorino_Romano	76-44	NULL
6cc76d36d944	UP6P1868	Pecorino_Toscano	76-15	NULL
2dc7dd60d076	TP6P1711	Pederson_Shrimp	76-12	NULL
487ed8e13933	TP5P0715	Pediophobia	38-24	-
20cc089e04a8	TP5P0645	Peladophobia	29-50	-
f47aaf8102fa	UP6P1242	Pelican	72-39	Located near the North America nebula, shaped like a pelican.
ae4f54564f00	TP5H0251	Pellekobben	72-26	-
43a20bfe10d6	TP6Y4407	Pemba	47-24	African Gods and Legendary Heroes
0cd91e5daeac	TP6Y4243	Pembele	57-44	African Gods and Legendary Heroes
dbd7df7251f2	UP5P0980	Pennsylvania	71-43	-
5579ab70e064	UP6P1216	Peony	56-31	-
42988ae64c8c	TP5P0745	Peristerophilia	39-12	-
95b9c6141543	TP6P1493	Perl	70-58	"A procedural language with influences from C, Lisp, AWK, sed and UNIX shells"
eba02452c31f	UP4Y0008	Peters_Kolsch	58-53	-
081656ae4c58	TP7P2171	Peter_Pan	62-14	NULL
b5dc99a3243c	TP5P0799	Petrophilia	39-50	-
7b96954a32aa	TP6P1277	Pet_Sematary	65-04	Based on a Stephen Kings novel.
f6b62d03a818	UP5Y0178	Peugeot_505	30-23	-
ad45a3599996	UP4Y0020	Pfungstadter_Edelpils	38-45	-
487c0470238c	AP5P0439	Pharmacology	40-63	-
fa0fa12e3be3	UP6P1408	Phase_10	65-51	A card Game
3c2770177988	TP5P0623	Phengophobia	29-52	-
57bb7c43b042	TP4P0157	Phenol	21-30	-
4baa79b64278	TP5P0769	Phenomenology	50-18	-
a18ef88fb947	TP5P0807	Philophilia	39-34	-
e6b5b3989f28	UP4P0208	Phosphorus	38-53	-
1c4e43cc454e	TP5P0809	Photophilia	59-26	-
952b762f35d5	TP5P0587	Photophobiaish	78-20	-
f985f818e3ec	TP6P1489	PHP	77-54	An interpreted reflective language used for creating dynamic web pages
1848d3974b7c	TP5P0811	Physiology	50-08	-
bfc26236a121	TP5P0793	Phytophilia	58-63	-
203e9026afb1	TP5Y0103	Pichelsberg	59-46	-
c6224ecabf6f	UP5Y0180	Pierce_Arrow_80	40-27	-
a29598735544	TP5P0911	Pierre	67-10	-
5334a99f05bc	TP7P2213	Piglet	62-32	NULL
74578c1716d2	TP4P0251	Pika	40-54	-
c359108343a7	AP6P1146	Pillow_Top	69-61	matress with a pillow on top
de18daf832b4	UP4Y0056	Pilsener_Urquell	21-15	-
a999ebcbc068	TP6P1671	Piltchard	76-22	Character from Joseph Hellers catch-22
2a4931d33ab6	TP4P0095	Pineapple	38-58	-
fb388b597810	UP6P1210	Pink_Dogwood	48-17	Hole  2 Par 5   575 yards
95dee10d663c	TP7P2165	Pinocchio	62-16	NULL
93094e9a3e4e	UP6P1370	Pinochle	73-23	A card Game
0ec9ae11b381	UP4P0250	Pinot_grigio	67-59	-
f8d252d28d84	UP4P0256	Pinot_noir	46-29	-
c701c8c6b7a7	TP6P1367	Piquet	78-38	A card Game
5f6cd6cec834	UP6P1344	Pistol	48-09	Surrounds one of the most massive stars known, the Pistol Star.
0c44d090b291	TP6P1577	Pit_Fall	70-26	the best selling game for the Atari 2600; considered the first platformer
a14b4c140eef	AP6P1109	Pit_Stop	62-62	Hunnnn hunnnnn hunnnnnn
84bc51a1fbfc	TP5P0605	Placophobia	46-32	-
03d0cc81fe48	AP5P0412	Plaksyish	57-63	-
04fd8b75603a	TP5P0775	Planktology	49-18	-
b7f25f056104	TP5Y0081	Planterwald	30-06	-
eb210715f03b	UP6P1334	Pleiades	73-01	The scattered light is blue for the same reason the sky is blue: blue light is scattered more than red light.
82c929ae1c02	TP5P0995	Pleurisy	58-52	-
89cd6716bb1e	TP5P0599	Plutophobia	38-32	-
ea71da9fe554	UP5Y0182	Plymouth_Prowler	30-47	-
62ad1feccd4d	UP7P2190	Pocahontas	62-25	NULL
b47fbd7d6299	TP5P0781	Pogonophilia	59-20	-
658cac0cd851	TP6P1887	Pohnpei	76-46	NULL
cec0731cfe44	UP6P1394	Poker	72-23	A card Game
c49eef83c4be	TP5P0567	Poki	66-58	-
2602b36d72a3	UP7Y4618	Polessk	77-21	NULL
e5b9c62cda24	TP5P0961	Polio	65-52	-
134cbe8a1688	TP5P0675	Politicophobia	29-36	-
0b8767be6653	AP5P0418	Polyphobia	59-62	-
a2aad9826a9d	TP4P0089	Pomegranate	38-60	-
c898afc8a87f	AP6P1173	Pompeii	75-64	NULL
8a909e1001e9	TP6P1547	Pong	76-40	a very very simple game involving a ball bouncing between two paddles
a40f157a0658	UP5Y0184	Pontiac_Firebird	40-31	-
f9f4ec7bad4b	UP4P0228	Popcorn	49-57	-
9513f8a612b5	TP4P0255	Porcupine	21-24	-
1aa46e241d8b	TP4P0257	Porpoise	50-04	-
ccbbe3ebe148	UP5Y0186	Porsche_911	40-05	-
6bda3a3ae651	TP4P0181	Porter	21-42	-
24e0bee78863	TP5P0641	Potamophobia	64-32	-
a2e878d8101f	UP4P0144	Potassium	50-55	-
4212834c6c88	TP5Y0131	Potsdamer_Platz	59-56	-
8d84a21acb2d	TP5Y0117	Potsdam_Hauptbahnhof	40-32	-
5c60ea2afb3c	UP5H0252	Prackharan	72-15	-
06614a6ffcd4	TP4P0259	Pronghorn	67-14	-
10e327bccef2	TP5P0895	Providence	67-20	-
cb073b65f722	TP7P2109	Provolone	76-48	NULL
acb8521e5103	TP5P1007	Psittacosis	56-30	-
91c65f3c9956	TP5P0801	Psychobiology	50-14	-
34fac78933aa	TP5P0783	Psychology	59-60	-
13301d174e00	TP5P0881	Psychrophilia	59-08	-
4c1c9706ee12	AP5P0409	Puck	49-62	-
bd8dc77c11c0	TP4P0261	Puma	66-62	-
18b8bb5db69e	TP5P0661	Pupaphobia	64-60	-
15aa9a31e2ff	UP6P1218	Pussytoes	58-15	A Flower
2911d83d429b	UP6Y4228	Putuoshan	73-21	Chinese gods and mythical heroes
29c29d5c727e	TP4P0263	Pygmy_Shrew	56-46	-
137b441e8e46	UP4P0242	Pyradine	50-49	-
f9286ecd7f2e	TP4P0187	Pyrrole	66-64	-
dcba09473722	UP6Y4380	Qi	46-57	Chinese gods and mythical heroes
3cc08972778e	UP7P2316	Quapaw_Tribe	62-37	NULL
c781e83184aa	TP6P1225	Queenanneslace	46-30	A Flower
4eb08e5f5057	UP6Y4358	Quetzalcoatl	66-25	NULL
a1c0ed2b66af	TP5P0963	Q_Fever	78-16	-
f37c017dd786	UP6P1384	Q_Squared_Joe	78-57	A card Game
2ba475921bff	TP4P0265	Rabbit	38-02	-
4e6a97fcef81	TP5P0987	Rabies	56-56	-
8922880bf58d	TP4P0267	Raccoon	46-02	-
187662436633	TP7P2141	Raclette	55-50	NULL
b804f6f38a45	TP4Y0053	Radeberger_Pilsener	21-16	-
643f1bf2fdb9	TP5P0765	Radiology	49-26	-
96a3a3340712	TP5P0709	Radiophobiaish	73-34	-
3fff949a2256	TP6P1721	Raging_Bull	71-46	Biopic of Jake Lamotta, Italian American Boxer
20f6cf1215f8	TP4H0024	Ragnar_Lodbrok	21-10	-
31fe50f2c0b4	TP4H0038	Ragnvald_Knaphoevde	30-22	-
a218a7e0a3a4	AP6P1127	Rag_Top	56-63	convertible car with a cloth roof
db21e2db154f	UP6Y4414	Raktavija	66-15	Indian Gods and legendary heroes
986a0a2a89af	TP5P1013	Raleigh	49-16	-
fce45a8cb7e9	TP6Y4379	Rama	66-14	Indian Gods and legendary heroes
10342ae1c03b	UP5Y0188	Rambler_American	59-17	-
a828f2b261fb	UP7P2338	Rapid_Robert	62-59	NULL
c06a75cd9eb1	UP4P0092	Raspberry	50-57	-
3096fbff3f93	TP4P0269	Rat	66-44	-
19bbdf2b10b3	TP4Y0019	Ratskrone	38-48	-
87bc3bf8e427	UP4P0136	Ravioli	49-53	-
eb7cf6dd9271	TP7P2131	Reblochon	55-54	NULL
1d48bd267c0e	TP6P1203	Redbud	58-20	Hole 16 Par 3   170 yards
0e7057aac4c7	UP4Y0028	Regenten_Pils	63-43	-
ffb9b1b82c88	TP4Y0059	Reissdorf_Koelsch	21-14	-
62cf42cb247f	UP5Y0202	Reliant_Scimitar	40-45	-
517f22221269	TP7Y4571	Remi	55-26	NULL
7bbcdaf21d4c	AP4P0060	Remus	73-58	-
724f1ae21fe6	UP5Y0190	Renault_Alpine	30-09	-
5b21398a904c	UP6H7600	Renskav	77-35	NULL
434bab0f7420	AP6P1107	Rest_Stop	63-64	A break in a journey for the use of a restroom or for refreshment
e6dc25b457fd	TP5P0823	Retrophilia	59-36	-
427ea29c4bb5	UP4Y0016	Rhenenia_Alt	21-19	-
1020cb84fd5c	TP5P0851	Rheophilia	59-12	-
fb0944d283fd	TP4P0271	Rhinoceros	21-08	-
2aa57b44710a	TP5P0921	Rhinophilia	64-42	-
03e493c9dd49	TP5P0857	Rhizophilia	39-30	-
d73095f22212	AP6P1188	Rhodes	53-63	NULL
967954ab18c2	UP5P0924	Rhode_Island	49-13	US State Names
02cbcbc2c8bd	TP4P0205	Rhubarb	30-20	-
4e41e17f6b7e	TP5P0665	Rhytiphobia	50-20	-
a727fddbb7f4	TP4P0169	Riesling	21-48	-
04dfb55edf6e	UP4P0142	Rigatoni	50-59	-
c5cb985b8ca8	TP5H0253	Ringkobben	46-50	-
1375759346b9	UP5H0112	Rinkeby	29-13	-
46e5a4a5f140	UP5H0152	Ripa	57-41	-
77c26865249c	AP5P0414	Rocish	57-64	-
ab502b475d34	UP4Y0036	Roemer_Koelsch	71-53	-
670437bebac1	TP4Y0051	Roemer_Pils	30-56	-
e712c41cde9d	TP4Y0055	Rolinck_Friedensreiter	58-10	-
bed154861710	UP5Y0192	Rolls_Royce_Phantom	49-27	-
b9fe17618428	AP6P1172	Rome	52-62	NULL
c9e3547421af	AP4P0059	Romulus	66-54	-
873ec91ce32f	TP7P2155	Roncal	62-42	NULL
f1ab2e182ebf	TP7P2217	Roo	62-22	NULL
9b4e909c8a43	AP6P1131	Roof_Top	45-63	outer surface of a roof
5528653801f4	TP5H0243	Ropsten	47-02	-
7281a1232857	TP7P2135	Roquefort	55-38	NULL
f3857903416d	UP4H0058	Rosersberg	30-03	-
7017d9615166	TP6P1333	Rosette	72-14	Very hot, young stars at the core of the Rosette Nebula have heated the surrounding gas to a temperature in the order of 6 million kelvins.
a214e0008f12	UP5H0126	Roskarl	57-39	-
3e7b6a4e0dd4	TP6H7501	Roslagstullsbacken	48-48	-
2da380c96898	UP6P1848	Rota	64-53	NULL
f6cce01fe708	UP5P1034	Rotavirus	65-59	-
5040bcb397a2	UP4P0122	Rotini	74-51	-
b447984564df	TP6P1343	Rotten_Egg	72-54	So name because it contains a lot of sulfur.
233e3b155870	UP5Y0194	Rover_TD_Sedan	49-21	-
7f01563a42c2	TP4P0137	Rowan	30-60	-
af8541448c39	TP6P1809	Royal_Aruban_Airlines	74-38	Aruba national airline
4ac4df55dd90	TP6P1803	Royal_Brunei_Airlines	74-44	Brunei national airline
15ea59e28f42	UP6P1524	RPL	70-01	Reverse Polish Lisp used by HP calculators
9a3863e8b91c	TP5P0943	Rubella	46-36	-
3ea2812c77e0	TP6Y4277	Rudra	73-04	Indian Gods and legendary heroes
758a1db915e3	UP6Y4372	Rukmini	66-13	Indian Gods and legendary heroes
db8a19ea2011	UP6P1366	Running_Man	73-55	A region of predominately blue reflection clouds of hydrogen in the Orion complex.
03da59feece2	TP5P0687	Rupophobia	67-22	-
0b626c0df7e0	AP5P0406	Rusalka	40-61	-
1b81d4a9fa33	TP6P1423	Russian_Bank	73-32	A card Game
cfb93ce56824	TP5P0923	Russophilia	39-24	-
820a6a039815	UP4P0190	Rutabega	30-29	-
aec80a53122c	UP6Y4322	Ruwa	57-05	African Gods and Legendary Heroes
307106e2b5cc	UP5Y0196	Saab_9000	59-23	-
af90a0a41ade	TP5P0903	Sacramento	67-08	-
4853a9933e7d	TP6P1213	Safflower	48-10	30 to 150 cm tall plant with globular flower heads (capitula) and commonly, brilliant yellow, orange or red flowers which bloom in July       Flowers
dd507ae67614	TP6P1509	Sagavanirktok_River	67-58	NE Alaska; rises on N slope of Brooks Range
8ec8a6965ce8	TP6P1875	Saipan	76-42	NULL
a14806c131c6	AP4P0071	Sake	56-50	-
ed0e43dcf150	UP7Y4484	Salamix	77-31	NULL
20545e5b61fa	UP5Y0198	Saleen_S7	40-37	-
ed68d047c751	TP5P0951	Salem	49-20	-
1107af0ce659	TP5P0973	Salmonella	78-22	-
be348fbee90a	TP5P0609	Sand_Man	38-34	-
ccd220b04e3e	AP5P0401	Santa_Ana	71-64	-
66bf0d11b1bf	TP5P0909	San_Francisco	46-60	-
3ad8d982fbeb	TP7P2211	Sarabi	62-34	NULL
180ba7aabc98	UP5P1036	SARS	78-59	-
062535590abe	AP5P0407	Sasquatch	38-61	-
f301c4df9d40	TP5P0595	Satanophobiaish	78-12	-
736f471564ab	UP6P1526	Sather	70-23	Eiffel derivative developed at Berkeley also named for a tower
efae979ed29f	UP5Y0200	Saturn_LS2	40-13	-
1863f33f159b	TP7P2275	Sauron	62-52	NULL
179cf7623823	TP5Y0147	Savignyplatz	49-44	Berlin S-Bahn Stations
be743fecd3d9	UP7P2138	Sbrinz	76-27	NULL
ba8ae8198d4f	UP5P1068	Scabies	46-21	-
83e8f6f9b1af	UP6P1228	Scabious	58-47	Scabiosa plants have many small flowers of soft lavender blue, lilac or creamy white colour borne in a single head on a tall stalk Flowers
d6cfb9ec5c94	UP5P1056	Scarlet_Fever	58-05	-
ec760a0d92a0	TP6Y4445	Sche	66-26	Chinese gods and mythical heroes
ceb5c63499a5	TP6P1523	Scheme	77-50	minimalist dialect of lisp
4255e2b1c79f	TP4Y0013	Schneider_Weisse	21-20	-
ba6f6ff66c27	TP4Y0035	Schultheiss	73-38	-
7432008fd102	TP5P0669	Sciaphobia	71-26	-
d750ad689e1f	UP5Y0204	Scion_Tc	59-41	-
4489b43873ed	TP5P0693	Scoleciphobia	66-20	-
176ff0d4f74b	TP6P1305	Scream	48-60	A1996 horror/dark comedy film directed by Wes Craven and written by Kevin Williamson.
db9c9f5f5f9b	UP6P1804	Sea_Hare	70-45	NULL
3d129a7e700f	TP6P1855	Sea_Wasp	76-20	NULL
7c4492e84f06	TP6P1285	See_No_Evil	56-28	2006 -A group of delinquents with a police officer clean the Blackwell Hotel to fill their community service. Unfortunately for the group, they are not aware that psychopath Jacob Goodnight (Kane) is also in the hotel
1236d813ed3d	UP5H0254	Seglargrundet	47-57	-
00cc7121317b	TP5P0787	Seismology	67-28	-
e7b1b9da9980	TP5P0611	Selaphobia	74-10	-
4cdc8a709f6c	TP5P0785	Selenology	49-36	-
69c98fcb129b	TP7P2313	Seneca_Nation	62-24	NULL
c07a90efdaeb	UP6P1592	Sergeant_Knight	70-57	Character from Joseph Hellers catch-22
b9293b8feb2b	TP5P0813	Serology	49-04	-
1713d9af3072	TP4P0275	Serow	67-16	-
18b445cafae3	AP6P1151	Set_Top	73-62	something designed to sit on top of a television
dfe6e7f9ecf1	UP6P1378	Seven_Bridge	64-49	A card Game
8d4b166a42a0	TP6P1403	Seven_Spades	73-46	A card Game
8a8e75ca71b8	TP7Y4605	Shakhunya	77-18	NULL
7b492c28a830	TP5P0527	Shamal	39-08	-
d176a7e2f57d	UP6P1398	Shanghai_Rum	72-19	A card Game
6d7d54d2f112	TP5P0501	Sharki	49-38	-
b127e9f832ad	UP6P1494	Sheenjik_River	58-39	NE Alaska; rises in Davidson Mts.
fe357b9c5c46	TP4P0279	Sheep	40-36	-
e41086a53f6e	TP6Y4469	Shennong	48-36	Chinese gods and mythical heroes
94464c228a20	UP5P1042	Shigellosis	78-39	-
2fc18502af5e	UP7Y4614	Shilka	77-17	NULL
7829d43058f7	TP5P0919	Shinbei_Inue	39-10	-
025ae17702f7	TP5P0915	Shino_Inuzuka	39-56	-
a8b6fc4a45c2	AP6P1123	Short_Stop	44-64	a stop
9afe456227ae	TP6Y4463	Shouxing	77-32	Chinese gods and mythical heroes
7bf2487c54f6	AP6P1106	Show_Stop	71-62	Drillers on strike, or a person fall into the hole
91de7b106eac	UP6Y4452	Shun	46-19	Chinese gods and mythical heroes
3becc3d12103	UP5H0246	Sickla	57-43	-
6368b5d0bb78	TP5P0691	Siderophobia	29-22	-
9a4c2fc88494	TP6P1275	Silent_Hill	56-06	The 2006 film adaptation of Konamis famous survival horror franchise
8fdac13e5374	UP5H0238	Sillgrissla	65-31	-
c0f1ad586123	UP5Y0206	Singer_Sedan	30-31	-
207856bee26f	TP5P0695	Sinistrophobia	73-56	-
aa03539a5403	TP5P0831	Sinophiliaish	58-08	-
4d40d01bad1c	TP6Y4287	Sita	63-24	Indian Gods and legendary heroes
3a5b93fe764e	AP5P0419	Sitiophobia	49-63	-
0be1d4c41214	UP6P1388	Sixty_three	47-15	A card Game
5fd665cb810d	UP5H0132	Skata	47-43	-
f299368f44fb	TP4P0155	Skatole	30-12	-
13f4064af480	UP6P1386	Skat_Card	78-21	A card Game
4fc540c56b6c	AP6P1115	Skip_Stop	65-61	a stop
7cd75e9125d2	UP5H0256	Skomakarkobben	72-17	-
f2cef4faecc8	TP5H0257	Skurhatten	77-30	NULL
0aa34ece576e	TP6P1459	Skwentna_River	67-46	S Alaska; rises in Mt. Gerdine glacier system
b9d6499bdee3	TP6P1401	Slapjack	65-42	A card Game
4a3e558dbb75	TP6P1295	Sleepy_Hollow	56-18	(1999) A historical horror film directed by Tim Burton interpreting the legend of the Headless Horseman and based (very) loosely around the Washington Irving story The Legend of Sleepy Hollow.
26fc676d9182	AP6P1121	Slide_Stop	65-62	a stop
9d2fb08d04ab	TP6P1859	Slipper_Lobster	70-44	NULL
e003d4bb5d53	TP5P0607	Sluag	29-16	-
87a7b9eb12aa	UP5H0202	Slussen	40-15	-
8caea0e80e24	UP6P1530	Smalltalk	70-47	popular objected oriented conceived by Alan Kay at Xerox PARC
8074af27dcc2	UP5Y0208	Smart_City_Cabrio	49-07	-
a55f40461662	TP6P1521	SNOBOL	77-02	StriNg Oriented symBOlic Language
d954a3b84e16	TP6P1643	Snowden	77-46	Character from Joseph Hellers catch-22
8bbbb008b86f	TP5P0817	Sociology	49-08	-
6b05b47548df	UP5H0178	Sockenplan	39-37	-
ef3e4ba9cba4	TP4P0117	Sodium	21-58	-
ec9dc048fc34	TP5P0547	Solar_Nebula	65-28	-
3044a88b1743	TP6P1639	Soldier_In_White	77-44	Character from Joseph Hellers catch-22
